request_id,origin_label,dest_label,o_lat,o_lon,d_lat,d_lon,dest_name,od_travel_time_min,tw_lower_min,tw_lower_str,tw_arrival_idx,tw_batch_pos,req_type,companions,route_mode
19,O19,D19,23.5510575,120.2374227,23.6971893,120.5259688,斗六臺大醫院,39.5,600,10:00,10,1,b,0,ok
20,O20,D20,23.640937799999996,120.18280340000001,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,18.62,600,10:00,10,2,b,1,ok
21,O21,D21,23.642240800000003,120.2386317,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,13.0,616,10:16,11,1,b,1,ok
22,O22,D22,23.6365462,120.17067309999999,23.6971893,120.5259688,斗六臺大醫院,32.87,616,10:16,12,1,a,0,ok
23,O23,D23,23.6646258,120.1590896,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,23.43,616,10:16,13,1,b,1,ok
24,O24,D24,23.5707563,120.25951999999998,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,8.03,616,10:16,13,2,a,0,ok
25,O25,D25,23.619591299999996,120.1528848,23.6971893,120.5259688,斗六臺大醫院,36.85,616,10:16,13,3,b,2,ok
26,O26,D26,23.56151510000001,120.25100700000002,23.7350302896249,120.42687610428565,虎尾台大分院,34.44,616,10:16,13,4,c,0,ok
27,O27,D27,23.6151719,120.16381219999998,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,19.38,616,10:16,13,5,b,1,ok
28,O28,D28,23.612786599999996,120.19052309999998,23.6971893,120.5259688,斗六臺大醫院,37.5,616,10:16,14,1,b,1,ok
29,O29,D29,23.5460677,120.1879104,23.780712109611365,120.44136548941536,雲林基督教醫院,40.13,616,10:16,14,2,b,1,ok
30,O30,D30,23.615694099999992,120.2381121,23.6971893,120.5259688,斗六臺大醫院,34.24,616,10:16,15,1,c,1,ok
31,O31,D31,23.557334799999992,120.2228859,23.780712109611365,120.44136548941536,雲林基督教醫院,41.73,618,10:18,16,1,b,1,ok
32,O32,D32,23.5719051,120.194421,23.6971893,120.5259688,斗六臺大醫院,41.72,618,10:18,17,1,b,1,ok
33,O33,D33,23.6475978,120.188333,23.708492413453005,120.43828331693344,若瑟醫院,26.07,618,10:18,17,2,b,1,ok
34,O34,D34,23.6150861,120.1610011,23.59657115924419,120.4570574328335,大林慈濟醫院,34.14,618,10:18,18,1,a,0,ok
35,O35,D35,23.5559077,120.1555343,23.6971893,120.5259688,斗六臺大醫院,41.34,618,10:18,18,2,b,1,ok
36,O36,D36,23.571836500000007,120.24310530000001,23.7350302896249,120.42687610428565,虎尾台大分院,34.09,618,10:18,18,3,c,1,ok
37,O37,D37,23.517445499999994,120.22930350000001,23.68498992919922,120.48826599121094,住家,39.99,618,10:18,18,4,b,1,ok
38,O38,D38,23.6428887,120.17548910000001,23.642253875732422,120.23857879638672,住家,7.89,618,10:18,19,1,b,1,ok
39,O39,D39,23.5483821,120.18354529999999,23.6971893,120.5259688,斗六臺大醫院,40.07,619,10:19,20,1,b,1,ok
40,O40,D40,23.6462394,120.21914590000002,23.70496940612793,120.44768524169922,住家,23.75,621,10:21,21,1,b,0,ok
41,O41,D41,23.569544999999998,120.2631887,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,7.5,634,10:34,22,1,b,1,ok
42,O42,D42,23.566474700000004,120.22854509999999,23.708492413453005,120.43828331693344,若瑟醫院,32.52,634,10:34,22,2,b,2,ok
43,O43,D43,23.617983699999993,120.21109689999999,23.6971893,120.5259688,斗六臺大醫院,34.56,634,10:34,22,3,a,1,ok
44,O44,D44,23.5717562,120.2429635,23.795326214379028,120.2189095335632,長庚醫院雲林分院,33.22,636,10:36,23,1,b,0,ok
45,O45,D45,23.639487499999998,120.21682250000002,23.6971893,120.5259688,斗六臺大醫院,32.02,638,10:38,24,1,b,1,ok
46,O46,D46,23.6209449,120.192896,23.767841339111328,120.57616424560547,住家,45.8,638,10:38,24,2,b,0,ok
47,O47,D47,23.671900299999997,120.1762802,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,21.46,863,14:23,25,1,b,1,ok
48,O48,D48,23.635471799999998,120.22755769999999,23.71430778503418,120.53028869628906,住家,33.19,863,14:23,25,2,b,1,ok
49,O49,D49,23.640820300000005,120.19869569999999,23.6971893,120.5259688,斗六臺大醫院,34.06,863,14:23,26,1,b,0,ok
50,O50,D50,23.547084799999997,120.1862931,23.6971893,120.5259688,斗六臺大醫院,40.34,962,16:02,27,1,b,1,ok
51,O51,D51,23.520315900000003,120.17495479999998,23.59657115924419,120.4570574328335,大林慈濟醫院,38.88,962,16:02,27,2,b,2,ok
52,O52,D52,23.618016600000004,120.163994,23.59012378702721,120.30729121027507,中國醫藥大學北港附設醫院,19.05,962,16:02,27,3,c,1,ok
53,O53,D53,23.575804299999994,120.2461066,23.705066680908203,120.42294311523438,住家,28.48,1019,16:59,28,1,b,1,ok
54,O54,D54,23.6260712,120.16719040000001,23.780712109611365,120.44136548941536,雲林基督教醫院,33.65,1019,16:59,29,1,c,1,ok
